"","Group.1","numOTUS","shannon","invsimpson"
"1","D0_INFfeed",89.4,3.54088996648156,15.3967253092791
"2","D0_INFinject",84.2307692307692,3.41238134528835,16.9021031092744
"3","D0_INFnm",84.8571428571429,3.15789354558856,15.5395276336743
"4","D0_NONINFnm",72.3333333333333,3.06004722588662,13.0811299224656
"5","D4_INFfeed",65.5,3.18177363038538,11.7258258373085
"6","D4_INFinject",70.7142857142857,3.1878402710503,12.1849076216631
"7","D4_INFnm",76.5,3.18469502320046,11.2091492167414
"8","D4_NONINFnm",79.4,3.15488212227346,9.17935128563367
"9","D7_INFfeed",89.4,3.62849351564108,17.1643393269244
"10","D7_INFinject",99.3,3.87410466304347,22.2022992107308
"11","D7_INFnm",95.2,3.6991634276597,18.9373113040708
"12","D7_NONINFnm",97.625,3.78508370279631,18.4178738773107
"13","DNEG3_INFfeed",92.75,3.8051268187343,23.7919736026589
"14","DNEG3_INFinject",96.2352941176471,3.87077170748249,24.0264251566258
"15","DNEG3_INFnm",110.764705882353,4.08967568291538,32.9314600199378
"16","DNEG3_NONINFnm",101.388888888889,3.93091593850563,26.2433607174332
