"","Group.1","numOTUS","shannon","invsimpson"
"1","D0_INFfeed",90,3.57156201507534,15.9351954482673
"2","D0_INFinject",84,3.38766976420711,16.956581005742
"3","D0_INFnm",83,3.15355368242038,15.6282394011964
"4","D0_NONINFnm",71.3333333333333,3.08926635054121,13.2741947111677
"5","D4_INFfeed",65.5,3.14265019210079,11.6070143024309
"6","D4_INFinject",69.1428571428571,3.16413728533863,11.9977872099132
"7","D4_INFnm",79.6666666666667,3.20269603692849,11.9036074975622
"8","D4_NONINFnm",77.6,3.11789657017154,9.11505051335318
"9","D7_INFfeed",89.1,3.58475995537331,16.7261344284838
"10","D7_INFinject",98.7,3.86663299343638,22.4176017857869
"11","D7_INFnm",94.8,3.66190097942562,19.2868436017429
"12","D7_NONINFnm",92.375,3.77061690314558,18.3217359549839
"13","DNEG3_INFfeed",90.55,3.7782063755976,23.1398909148161
"14","DNEG3_INFinject",99.2941176470588,3.86606202178152,23.5876846473261
"15","DNEG3_INFnm",113.117647058824,4.06233733061647,31.9492543655443
"16","DNEG3_NONINFnm",97.6470588235294,3.86423929514558,25.3253673278715
